order_id,vendor,vehicle_type,origin_city,destination_city,shipment_date,planned_delivery,actual_delivery,distance_km,weather_condition,traffic_condition,vendor_delay_score,hour_of_day,day_of_week,holiday_flag,pickup_delay_minutes,driver_rating,vehicle_age_years,order_weight_kg,num_packages,order_priority,road_type,is_delayed
ORD_100000,EcomExpress,Van,Delhi,Mumbai,2025-06-27 00:48:25,2025-06-27 16:48:25,2025-06-27 16:48:25,880,Clear,Light,0.56,0,4,0,0,4.1,4,37.28,7,Standard,Highway,0
ORD_100001,EcomExpress,Tempo,Chennai,Kolkata,2025-06-14 01:48:25,2025-06-15 08:48:25,2025-06-15 08:48:25,1146,Fog,Moderate,0.35,1,5,0,0,3.3,10,25.02,1,Standard,Highway,0
ORD_100002,BlueDart,Bike,Mumbai,Delhi,2025-06-18 10:48:25,2025-06-19 03:48:25,2025-06-19 05:48:25,778,Clear,Moderate,0.27,10,2,0,5,3.7,10,19.38,8,Standard,Urban,0
ORD_100003,BlueDart,Van,Mumbai,Hyderabad,2025-07-01 14:48:25,2025-07-02 04:48:25,2025-07-02 16:48:25,731,Storm,Moderate,0.31,14,1,0,10,2.8,2,38.39,2,Standard,Highway,1
ORD_100004,Shadowfax,Van,Mumbai,Delhi,2025-07-03 17:48:25,2025-07-04 09:48:25,2025-07-04 09:48:25,951,Storm,Light,0.17,17,3,0,0,3.3,5,3.22,4,Standard,Highway,0
ORD_100005,EcomExpress,Mini Truck,Delhi,Kolkata,2025-06-22 16:48:25,2025-06-23 13:48:25,2025-06-23 15:48:25,841,Storm,Light,0.34,16,6,0,0,4.1,0,27.68,2,Standard,Urban,0
ORD_100006,EcomExpress,Bike,Hyderabad,Delhi,2025-07-06 07:48:25,2025-07-07 05:48:25,2025-07-07 07:48:25,1172,Rain,Moderate,0.42,7,6,0,0,4.3,0,4.87,7,Standard,Highway,0
ORD_100007,BlueDart,Bike,Hyderabad,Kolkata,2025-06-13 05:48:25,2025-06-14 03:48:25,2025-06-14 11:48:25,1259,Rain,Heavy,0.36,5,4,0,10,3.2,6,34.93,5,Express,Highway,1
ORD_100008,Shadowfax,Van,Hyderabad,Chennai,2025-07-05 20:48:25,2025-07-06 14:48:25,2025-07-06 14:48:25,1027,Rain,Light,0.14,20,5,0,15,4.3,9,36.78,7,Standard,Highway,0
ORD_100009,EcomExpress,Mini Truck,Hyderabad,Kolkata,2025-06-12 16:48:25,2025-06-13 20:48:25,2025-06-13 20:48:25,1485,Storm,Moderate,0.25,16,3,0,0,4.9,7,29.94,8,Standard,Urban,0
ORD_100010,EcomExpress,Van,Delhi,Kolkata,2025-07-08 02:48:25,2025-07-08 20:48:25,2025-07-08 22:48:25,660,Fog,Heavy,0.18,2,1,0,0,4.2,6,14.71,6,Standard,Highway,0
ORD_100011,XpressBees,Bike,Pune,Mumbai,2025-07-04 06:48:25,2025-07-05 08:48:25,2025-07-05 08:48:25,1163,Rain,Moderate,0.34,6,4,0,0,4.3,7,1.36,5,Express,Highway,0
ORD_100012,EcomExpress,Mini Truck,Chennai,Bangalore,2025-07-07 00:48:25,2025-07-08 02:48:25,2025-07-08 02:48:25,1065,Clear,Moderate,0.18,0,0,0,10,4.2,10,35.46,1,Standard,Highway,0
ORD_100013,Shadowfax,Bike,Delhi,Chennai,2025-06-20 20:48:25,2025-06-21 06:48:25,2025-06-21 06:48:25,637,Storm,Moderate,0.3,20,4,0,10,4.5,0,22.34,6,Standard,Highway,0
ORD_100014,EcomExpress,Van,Pune,Bangalore,2025-07-05 16:48:25,2025-07-06 19:48:25,2025-07-06 19:48:25,1368,Rain,Moderate,0.09,16,5,0,0,4.5,9,30.85,7,Standard,Highway,0
ORD_100015,XpressBees,Bike,Bangalore,Mumbai,2025-06-22 10:48:25,2025-06-22 13:48:25,2025-06-22 21:48:25,197,Rain,Light,0.25,10,6,0,5,4.8,2,29.7,7,Standard,Highway,1
ORD_100016,EcomExpress,Tempo,Chennai,Pune,2025-06-25 08:48:25,2025-06-26 12:48:25,2025-06-26 12:48:25,1430,Fog,Light,0.56,8,2,0,0,4.6,5,28.4,2,Standard,Highway,0
ORD_100017,Delhivery,Mini Truck,Mumbai,Kolkata,2025-06-30 10:48:25,2025-06-30 10:48:25,2025-06-30 10:48:25,13,Rain,Heavy,0.37,10,0,0,5,4.6,6,12.04,2,Standard,Urban,0
ORD_100018,Delhivery,Mini Truck,Pune,Kolkata,2025-06-23 01:48:25,2025-06-23 04:48:25,2025-06-24 04:48:25,160,Clear,Moderate,0.28,1,0,0,15,4.0,8,7.05,2,Standard,Urban,1
ORD_100019,XpressBees,Mini Truck,Bangalore,Chennai,2025-07-05 12:48:25,2025-07-05 15:48:25,2025-07-05 23:48:25,128,Storm,Moderate,0.52,12,5,0,0,3.1,8,9.7,7,Standard,Highway,1
ORD_100020,Shadowfax,Bike,Mumbai,Kolkata,2025-06-13 03:48:25,2025-06-14 02:48:25,2025-06-14 02:48:25,1242,Fog,Light,0.13,3,4,0,10,3.6,5,18.51,10,Standard,Urban,0
ORD_100021,XpressBees,Tempo,Kolkata,Pune,2025-06-29 10:48:25,2025-06-30 01:48:25,2025-06-30 05:48:25,890,Fog,Light,0.26,10,6,0,0,3.7,5,25.28,10,Standard,Urban,0
ORD_100022,Shadowfax,Van,Chennai,Delhi,2025-06-13 06:48:25,2025-06-13 13:48:25,2025-06-13 13:48:25,386,Clear,Moderate,0.49,6,4,0,0,4.4,6,49.7,9,Standard,Highway,0
ORD_100023,Delhivery,Mini Truck,Delhi,Bangalore,2025-06-26 04:48:25,2025-06-26 05:48:25,2025-06-26 13:48:25,60,Storm,Light,0.49,4,3,0,30,2.9,1,47.71,7,Express,Rural,1
ORD_100024,XpressBees,Bike,Pune,Mumbai,2025-07-03 11:48:25,2025-07-04 09:48:25,2025-07-04 09:48:25,1313,Fog,Moderate,0.12,11,3,0,0,4.4,7,29.49,4,Express,Urban,0
ORD_100025,EcomExpress,Tempo,Kolkata,Pune,2025-06-26 10:48:25,2025-06-26 15:48:25,2025-06-26 17:48:25,165,Clear,Light,0.11,10,3,0,0,4.8,5,19.58,8,Standard,Highway,0
ORD_100026,BlueDart,Bike,Mumbai,Chennai,2025-06-27 02:48:25,2025-06-27 05:48:25,2025-06-27 17:48:25,171,Clear,Moderate,0.12,2,4,0,15,3.0,10,17.34,6,Express,Urban,1
ORD_100027,XpressBees,Mini Truck,Chennai,Bangalore,2025-06-25 17:48:25,2025-06-26 09:48:25,2025-06-26 11:48:25,973,Clear,Moderate,0.37,17,2,0,0,4.6,7,33.99,10,Standard,Urban,0
ORD_100028,Shadowfax,Van,Bangalore,Pune,2025-06-12 05:48:25,2025-06-12 19:48:25,2025-06-13 07:48:25,730,Clear,Moderate,0.14,5,3,0,5,4.9,1,43.49,1,Standard,Highway,1
ORD_100029,EcomExpress,Van,Pune,Bangalore,2025-06-20 07:48:25,2025-06-20 09:48:25,2025-06-20 09:48:25,147,Clear,Heavy,0.14,7,4,0,10,4.3,7,43.61,7,Standard,Urban,0
ORD_100030,EcomExpress,Mini Truck,Bangalore,Pune,2025-06-20 19:48:25,2025-06-20 20:48:25,2025-06-20 22:48:25,43,Storm,Moderate,0.45,19,4,0,10,4.2,5,33.58,4,Standard,Highway,0
ORD_100031,BlueDart,Bike,Hyderabad,Chennai,2025-06-22 06:48:25,2025-06-22 18:48:25,2025-06-22 18:48:25,616,Clear,Moderate,0.23,6,6,0,0,3.5,8,8.87,10,Standard,Urban,0
ORD_100032,BlueDart,Mini Truck,Mumbai,Hyderabad,2025-07-11 05:48:25,2025-07-11 14:48:25,2025-07-11 14:48:25,429,Storm,Moderate,0.09,5,4,0,10,3.1,2,4.75,7,Standard,Rural,0
ORD_100033,XpressBees,Mini Truck,Bangalore,Mumbai,2025-06-20 19:48:25,2025-06-21 20:48:25,2025-06-22 08:48:25,1292,Rain,Light,0.5,19,4,0,10,4.5,9,20.3,5,Express,Urban,1
ORD_100034,Shadowfax,Bike,Delhi,Kolkata,2025-06-22 15:48:25,2025-06-23 18:48:25,2025-06-23 18:48:25,1226,Rain,Moderate,0.44,15,6,0,0,3.4,1,17.48,6,Express,Highway,0
ORD_100035,Shadowfax,Van,Bangalore,Chennai,2025-07-04 04:48:25,2025-07-04 13:48:25,2025-07-04 15:48:25,514,Rain,Heavy,0.08,4,4,0,0,4.6,0,37.13,7,Standard,Rural,0
ORD_100036,Shadowfax,Bike,Mumbai,Delhi,2025-06-22 13:48:25,2025-06-23 08:48:25,2025-06-23 12:48:25,1167,Storm,Moderate,0.42,13,6,0,0,4.6,7,13.59,9,Standard,Highway,0
ORD_100037,Shadowfax,Tempo,Chennai,Kolkata,2025-06-23 20:48:25,2025-06-24 09:48:25,2025-06-24 09:48:25,511,Fog,Heavy,0.54,20,0,0,0,4.2,2,32.21,6,Standard,Urban,0
ORD_100038,BlueDart,Bike,Pune,Mumbai,2025-06-23 08:48:25,2025-06-24 11:48:25,2025-06-24 11:48:25,1224,Storm,Light,0.15,8,0,0,0,2.8,9,49.14,3,Standard,Urban,0
ORD_100039,BlueDart,Van,Chennai,Pune,2025-07-07 11:48:25,2025-07-07 21:48:25,2025-07-07 21:48:25,557,Storm,Light,0.29,11,0,0,30,3.3,5,39.74,7,Standard,Highway,0
ORD_100040,EcomExpress,Bike,Bangalore,Chennai,2025-07-01 05:48:25,2025-07-02 04:48:25,2025-07-02 04:48:25,798,Rain,Heavy,0.2,5,1,0,0,3.3,10,7.97,9,Standard,Urban,0
ORD_100041,Delhivery,Bike,Bangalore,Pune,2025-06-24 19:48:25,2025-06-26 03:48:25,2025-06-26 11:48:25,1284,Rain,Moderate,0.21,19,1,0,0,2.8,0,32.16,6,Standard,Urban,1
ORD_100042,EcomExpress,Mini Truck,Delhi,Bangalore,2025-07-10 15:48:25,2025-07-11 04:48:25,2025-07-11 08:48:25,498,Rain,Heavy,0.17,15,3,0,0,3.9,4,25.04,2,Standard,Highway,0
ORD_100043,Shadowfax,Bike,Pune,Chennai,2025-07-11 05:48:25,2025-07-12 05:48:25,2025-07-12 09:48:25,1363,Storm,Moderate,0.57,5,4,0,0,3.5,8,7.63,9,Standard,Highway,0
ORD_100044,BlueDart,Tempo,Delhi,Chennai,2025-06-16 15:48:25,2025-06-17 03:48:25,2025-06-17 05:48:25,585,Rain,Moderate,0.11,15,0,0,0,4.8,6,21.95,1,Standard,Highway,0
ORD_100045,Delhivery,Mini Truck,Mumbai,Hyderabad,2025-06-22 01:48:25,2025-06-23 09:48:25,2025-06-23 13:48:25,1440,Rain,Light,0.36,1,6,0,0,4.8,5,32.46,3,Standard,Urban,0
ORD_100046,Shadowfax,Van,Hyderabad,Pune,2025-06-16 14:48:25,2025-06-17 06:48:25,2025-06-18 06:48:25,573,Clear,Heavy,0.41,14,0,0,0,4.9,4,42.48,4,Express,Highway,1
ORD_100047,BlueDart,Bike,Delhi,Hyderabad,2025-06-27 09:48:25,2025-06-27 17:48:25,2025-06-27 21:48:25,480,Rain,Light,0.41,9,4,0,10,2.6,0,38.36,8,Express,Highway,0
ORD_100048,Shadowfax,Mini Truck,Pune,Kolkata,2025-06-11 18:48:25,2025-06-12 11:48:25,2025-06-12 11:48:25,607,Storm,Light,0.1,18,2,0,0,3.2,6,47.4,5,Express,Highway,0
ORD_100049,EcomExpress,Van,Kolkata,Delhi,2025-06-18 03:48:25,2025-06-19 00:48:25,2025-06-19 02:48:25,914,Storm,Moderate,0.14,3,2,0,5,3.0,6,18.5,5,Express,Urban,0
ORD_100050,BlueDart,Mini Truck,Pune,Kolkata,2025-06-12 11:48:25,2025-06-12 21:48:25,2025-06-12 21:48:25,488,Rain,Light,0.55,11,3,0,0,4.7,2,27.22,2,Standard,Highway,0
ORD_100051,Shadowfax,Tempo,Chennai,Kolkata,2025-07-01 22:48:25,2025-07-02 21:48:25,2025-07-02 21:48:25,882,Fog,Moderate,0.4,22,1,0,5,4.7,8,28.55,9,Standard,Urban,0
ORD_100052,Delhivery,Bike,Bangalore,Mumbai,2025-06-14 22:48:25,2025-06-14 22:48:25,2025-06-14 22:48:25,47,Rain,Moderate,0.16,22,5,0,15,4.0,5,16.34,3,Express,Urban,0
ORD_100053,BlueDart,Van,Bangalore,Delhi,2025-07-01 07:48:25,2025-07-01 09:48:25,2025-07-01 21:48:25,107,Storm,Moderate,0.11,7,1,0,15,4.7,10,46.33,3,Standard,Rural,1
ORD_100054,Delhivery,Mini Truck,Hyderabad,Delhi,2025-06-12 09:48:25,2025-06-13 05:48:25,2025-06-13 09:48:25,1165,Rain,Moderate,0.11,9,3,0,5,4.5,9,36.4,4,Standard,Highway,0
ORD_100055,Shadowfax,Bike,Hyderabad,Mumbai,2025-07-06 14:48:25,2025-07-07 13:48:25,2025-07-07 13:48:25,1139,Rain,Moderate,0.24,14,6,0,0,3.6,0,30.32,9,Express,Highway,0
ORD_100056,BlueDart,Tempo,Mumbai,Chennai,2025-06-13 23:48:25,2025-06-14 19:48:25,2025-06-14 19:48:25,970,Clear,Heavy,0.56,23,4,0,0,3.3,10,38.1,2,Express,Urban,0
ORD_100057,BlueDart,Tempo,Kolkata,Hyderabad,2025-06-20 02:48:25,2025-06-20 10:48:25,2025-06-20 10:48:25,450,Clear,Heavy,0.18,2,4,0,0,3.7,7,47.09,2,Express,Urban,0
ORD_100058,Delhivery,Tempo,Pune,Kolkata,2025-06-14 22:48:25,2025-06-15 17:48:25,2025-06-15 17:48:25,818,Rain,Moderate,0.19,22,5,0,0,4.2,9,3.91,9,Express,Urban,0
ORD_100059,BlueDart,Bike,Delhi,Pune,2025-06-29 19:48:25,2025-06-29 20:48:25,2025-06-29 22:48:25,66,Clear,Moderate,0.08,19,6,0,0,2.9,6,30.72,4,Standard,Urban,0
